title,director,year,originalTitle
Black Orpheus,Marcel Camus,1959,
Nights of Cabiria,Federico Fellini,1957,
And the Ship Sails On,Federico Fellini,1983,
Brazil,Terry Gilliam,1985,
Yojimbo,Akira Kurosawa,1961,
Sanjuro,Akira Kurosawa,1962,
For All Mankind,Al Reinert,1989,
The Unbearable Lightness of Being,Philip Kaufman,1988,
The 39 Steps,Alfred Hitchcock,1935,
Charade,Stanley Donen,1963,
Peeping Tom,Michael Powell,1960,
The Night Porter,Liliana Cavani,1974,
Autumn Sonata,Ingmar Bergman,1978,
Monty Python’s Life of Brian,Terry Jones,1979,
The Passion of Joan of Arc,Carl Th. Dreyer,1928,
Carnival of Souls,Herk Harvey,1962,
The Third Man,Carol Reed,1949,
Rushmore,Wes Anderson,1998,
The Orphic Trilogy, , ,
The Blood of a Poet,Jean Cocteau,1930,
Orpheus,Jean Cocteau,1950,
Testament of Orpheus,Jean Cocteau,1959,
The Last Temptation of Christ,Martin Scorsese,1988,
The Magic Flute,Ingmar Bergman,1975,
Le million,René Clair,1931,
Cléo from 5 to 7,Agnès Varda,1962,
Vagabond,Agnès Varda,1985,
Chasing Amy,Kevin Smith,1997,
Brief Encounter,David Lean,1945,
And God Created Woman,Roger Vadim,1956,
The Bank Dick,Edward Cline,1940,
W. C. Fields—Six Short Films,Monte Brice…,1933,
The Element of Crime,Lars von Trier,1984,
Variety Lights,Federico Fellini…,1950,
Hamlet,Laurence Olivier,1948,
The Harder They Come,Perry Henzell,1972,
Good Morning,Yasujirō Ozu,1959,
Pygmalion,Anthony Asquith…,1938,
Eisenstein: The Sound Years, , ,
Alexander Nevsky,Sergei Eisenstein,1938,
"Ivan the Terrible, Part I",Sergei Eisenstein,1944,
"Ivan the Terrible, Part II",Sergei Eisenstein,1958,
Sisters,Brian De Palma,1973,
Kwaidan,Masaki Kobayashi,1965,
The Blob,Irvin S. Yeaworth Jr.,1958,
Fiend Without a Face,Arthur Crabtree,1958,
Black Narcissus,Michael Powell and Emeric Pressburger,1947,
I Know Where I’m Going!,Michael Powell…,1945,
All That Heaven Allows,Douglas Sirk,1955,
Written on the Wind,Douglas Sirk,1956,
Do the Right Thing,Spike Lee,1989,
L’avventura,Michelangelo Antonioni,1960,
Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",1970,
Beastie Boys Video Anthology,Various,2000,
Cries and Whispers,Ingmar Bergman,1972,
The Discreet Charm of the Bourgeoisie,Luis Buñuel,1972,
The Lady Eve,Preston Sturges,1941,
Double Suicide,Masahiro Shinoda,1969,
Spartacus,Stanley Kubrick,1960,
Coup de torchon,Bertrand Tavernier,1981,
Mona Lisa,Neil Jordan,1986,
The Rock,Michael Bay,1996,
The Scarlet Empress,Josef von Sternberg,1934,
Monsieur Hulot’s Holiday,Jacques Tati,1953,
Mon oncle,Jacques Tati,1958,
PlayTime,Jacques Tati,1967,
Big Deal on Madonna Street,Mario Monicelli,1958,
My Man Godfrey,Gregory La Cava,1936,
Rififi,Jules Dassin,1955,
The Hidden Fortress,Akira Kurosawa,1958,
Diary of a Chambermaid,Luis Buñuel,1964,
Sullivan’s Travels,Preston Sturges,1941,
Withnail and I,Bruce Robinson,1986,
How to Get Ahead in Advertising,Bruce Robinson,1988,
Billy Liar,John Schlesinger,1963,
Salesman,David Maysles…,1969,
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",1976,
Carl Theodor Dreyer Box Set, , ,
Day of Wrath,Carl Th. Dreyer,1943,
Ordet,Carl Th. Dreyer,1955,
Gertrud,Carl Th. Dreyer,1964,
Carl Th. Dreyer—My Metier,Torben Skjødt Jensen,1995,
Le trou,Jacques Becker,1960,
The Shop on Main Street,Ján Kadár…,1965,
Closely Watched Trains,Jiří Menzel,1966,
The Ruling Class,Peter Medak,1972,
The Vanishing,George Sluizer,1988,
Häxan,Benjamin Christensen,1922,
Rebecca,Alfred Hitchcock,1940,
Spellbound,Alfred Hitchcock,1945,
Notorious,Alfred Hitchcock,1946,
Rashomon,Akira Kurosawa,1950,
Wild Strawberries,Ingmar Bergman,1957,
8½,Federico Fellini,1963,
Children of Paradise,Marcel Carné,1945,
The Last Wave,Peter Weir,1977,
That Obscure Object of Desire,Luis Buñuel,1977,
Loves of a Blonde,Miloš Forman,1965,
The Firemen’s Ball,Miloš Forman,1967,
The Cranes Are Flying,Mikhail Kalatozov,1957,
In the Mood for Love,Wong Kar Wai,2000,
Ballad of a Soldier,Grigori Chukhrai,1959,
Juliet of the Spirits,Federico Fellini,1965,
Bob le flambeur,Jean-Pierre Melville,1956,
Traffic,Steven Soderbergh,2000,
George Washington,David Gordon Green,2000,
General Idi Amin Dada: A Self-Portrait,Barbet Schroeder,1974,
The Horse’s Mouth,Ronald Neame,1958,
Tokyo Olympiad,Kon Ichikawa,1965,
Hearts and Minds,Peter Davis,1974,
The Royal Tenenbaums,Wes Anderson,2001,
The Importance of Being Earnest,Anthony Asquith,1952,
Red Beard,Akira Kurosawa,1965,
À nous la liberté,René Clair,1931,
Under the Roofs of Paris,René Clair,1930,
Ratcatcher,Lynne Ramsay,1999,
Hopscotch,Ronald Neame,1980,
Solaris,Andrei Tarkovsky,1972,
Man Bites Dog,Rémy Belvaux…,1992,
Down by Law,Jim Jarmusch,1986,
The Complete Monterey Pop Festival, , ,
Monterey Pop,D. A. Pennebaker,1968,
Jimi Plays Monterey & Shake! Otis at Monterey,Chris Hegedus…,1986,
Trouble in Paradise,Ernst Lubitsch,1932,
Contempt,Jean-Luc Godard,1963,
Pépé le moko,Julien Duvivier,1937,
The Life and Death of Colonel Blimp,Michael Powell…,1943,
Band of Outsiders,Jean-Luc Godard,1964,
Fear and Loathing in Las Vegas,Terry Gilliam,1998,
The Killers, , ,
The Lost Honor of Katharina Blum,Volker Schlöndorff…,1975,
My Life as a Dog,Lasse Hallström,1985,
I Am Curious . . . Box set, , ,
I Am Curious—Yellow,Vilgot Sjöman,1967,
I Am Curious—Blue,Vilgot Sjöman,1967,
Straw Dogs,Sam Peckinpah,1971,
Les dames du Bois de Boulogne,Robert Bresson,1945,
"By Brakhage: An Anthology, Volume One",Stan Brakhage,,
The Adventures of Antoine Doinel, , ,
Stolen Kisses,François Truffaut,1968,
Bed and Board,François Truffaut,1970,
Love on the Run,François Truffaut,1979,
The White Sheik,Federico Fellini,1952,
Throne of Blood,Akira Kurosawa,1957,
Jubilee,Derek Jarman,1978,
Coup de grâce,Volker Schlöndorff,1976,
Quai des Orfèvres,Henri-Georges Clouzot,1947,
Il posto,Ermanno Olmi,1961,
I fidanzati,Ermanno Olmi,1962,
Hiroshima mon amour,Alain Resnais,1959,
Night and Fog,Alain Resnais,1955,
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,1974,
Schizopolis,Steven Soderbergh,1996,
The Honeymoon Killers,Leonard Kastle,1969,
Umberto D.,Vittorio De Sica,1952,
Indiscretion of an American Wife,Vittorio De Sica,1953,
The BRD Trilogy, , ,
The Marriage of Maria Braun,Rainer Werner Fassbinder,1979,
Veronika Voss,Rainer Werner Fassbinder,1982,
Lola,Rainer Werner Fassbinder,1981,
The Pornographers,Shohei Imamura,1966,
A Film Trilogy by Ingmar Bergman, , ,
Through a Glass Darkly,Ingmar Bergman,1961,
Winter Light,Ingmar Bergman,1963,
The Silence,Ingmar Bergman,1963,
Richard III,Laurence Olivier,1955,
The Devil and Daniel Webster,William Dieterle,1941,
Knife in the Water,Roman Polanski,1962,
The Rules of the Game,Jean Renoir,1939,
Tokyo Story,Yasujirō Ozu,1953,
Le cercle rouge,Jean-Pierre Melville,1970,
La strada,Federico Fellini,1954,
Naked Lunch,David Cronenberg,1991,
Ikiru,Akira Kurosawa,1952,
Diary of a Country Priest,Robert Bresson,1951,
Maîtresse,Barbet Schroeder,1976,
Pickup on South Street,Samuel Fuller,1953,
Tunes of Glory,Ronald Neame,1960,
Onibaba,Kaneto Shindo,1964,
Le Corbeau,Henri-Georges Clouzot,1943,
Salvatore Giuliano,Francesco Rosi,1962,
Scenes from a Marriage,Ingmar Bergman,1973,
3 Women,Robert Altman,1977,
The Testament of Dr. Mabuse,Fritz Lang,1933,
A Story of Floating Weeds/Floating Weeds: Two Films by Yasujirō Ozu, , ,
Stray Dog,Akira Kurosawa,1949,
The Tin Drum,Volker Schlöndorff,1979,
The Leopard,Luchino Visconti,1963,
Mamma Roma,Pier Paolo Pasolini,1962,
Smiles of a Summer Night,Ingmar Bergman,1955,
A Woman Is a Woman,Jean-Luc Godard,1961,
The Lower Depths, , ,
Early Summer,Yasujirō Ozu,1951,
Stage and Spectacle: Three Films by Jean Renoir, , ,
The Golden Coach,Jean Renoir,1953,
French Cancan,Jean Renoir,1955,
Elena and Her Men,Jean Renoir,1956,
Port of Shadows,Marcel Carné,1938,
I vitelloni,Federico Fellini,1953,
Slacker,Richard Linklater,1991,
Videodrome,David Cronenberg,1983,
The Battle of Algiers,Gillo Pontecorvo,1966,
John Cassavetes: Five Films, , ,
Shadows,John Cassavetes,1959,
Faces,John Cassavetes,1968,
A Woman Under the Influence,John Cassavetes,1974,
The Killing of a Chinese Bookie,John Cassavetes,1976,
Opening Night,John Cassavetes,1977,
A Constant Forge,Charles Kiselyak,2000,
Secret Honor,Robert Altman,1984,
Tanner ’88,Robert Altman,1988,
Fat Girl,Catherine Breillat,2001,
Eyes Without a Face,Georges Franju,1960,
Fanny and Alexander Box Set, , ,
Fanny and Alexander: Television Version,Ingmar Bergman,1983,
Fanny and Alexander: Theatrical Version,Ingmar Bergman,1982,
The Making of Fanny and Alexander,Ingmar Bergman,1982,
Short Cuts,Robert Altman,1993,
The King of Kings,Cecil B. DeMille,1927,
Kagemusha,Akira Kurosawa,1980,
Youth of the Beast,Seijun Suzuki,1963,
Fighting Elegy,Seijun Suzuki,1966,
Casque d’or,Jacques Becker,1952,
Touchez pas au grisbi,Jacques Becker,1954,
La commare secca,Bernardo Bertolucci,1962,
Thieves’ Highway,Jules Dassin,1949,
Night and the City,Jules Dassin,1950,
Tout va bien,Jean-Luc Godard…,1972,
The River,Jean Renoir,1951,
My Own Private Idaho,Gus Van Sant,1991,
L’eclisse,Michelangelo Antonioni,1962,
Young Törless,Volker Schlöndorff,1966,
The Sword of Doom,Kihachi Okamoto,1966,
Jules and Jim,François Truffaut,1962,
Andrzej Wajda: Three War Films, , ,
A Generation,Andrzej Wajda,1955,
Kanal,Andrzej Wajda,1957,
Ashes and Diamonds,Andrzej Wajda,1958,
Divorce Italian Style,Pietro Germi,1961,
Burden of Dreams,Les Blank,1982,
F for Fake,Orson Welles,1975,
Hoop Dreams,Steve James,1994,
The Phantom of Liberty,Luis Buñuel,1974,
Heaven Can Wait,Ernst Lubitsch,1943,
Unfaithfully Yours,Preston Sturges,1948,
The Flowers of St. Francis,Roberto Rossellini,1950,
The Browning Version,Anthony Asquith,1951,
Crazed Fruit,Kô Nakahira,1956,
 Le notti bianche,Luchino Visconti,1957,
Au hasard Balthazar,Robert Bresson,1966,
Gate of Flesh,Seijun Suzuki,1964,
Story of a Prostitute,Seijun Suzuki,1965,
The Life Aquatic with Steve Zissou,Wes Anderson,2004,
An Angel at My Table,Jane Campion,1990,
Harakiri,Masaki Kobayashi,1962,
Bad Timing,Nicolas Roeg,1980,
The Man Who Fell to Earth,Nicolas Roeg,1976,
Boudu Saved from Drowning,Jean Renoir,1932,
Le samouraï,Jean-Pierre Melville,1967,
Naked,Mike Leigh,1993,
Masculin féminin,Jean-Luc Godard,1966,
Ugetsu,Kenji Mizoguchi,1953,
Samurai Rebellion,Masaki Kobayashi,1967,
Sword of the Beast,Hideo Gosha,1965,
Samurai Spy,Masahiro Shinoda,1965,
Kill!,Kihachi Okamoto,1968,
Pickpocket,Robert Bresson,1959,
Shoot the Piano Player,François Truffaut,1960,
Ran,Akira Kurosawa,1985,
The Tales of Hoffmann,Michael Powell and Emeric Pressburger,1951,
Forbidden Games,René Clément,1952,
The Bad Sleep Well,Akira Kurosawa,1960,
Young Mr. Lincoln,John Ford,1939,
The Virgin Spring,Ingmar Bergman,1960,
The Complete Mr. Arkadin,Orson Welles,1955,
The Children Are Watching Us,Vittorio De Sica,1944,
La bête humaine,Jean Renoir,1938,
Kind Hearts and Coronets,Robert Hamer,1949,
Metropolitan,Whit Stillman,1990,
3 Films by Louis Malle, , ,
Murmur of the Heart,Louis Malle,1971,
"Lacombe, Lucien",Louis Malle,1974,
Au revoir les enfants,Louis Malle,1987,
Late Spring,Yasujirō Ozu,1949,
Viridiana,Luis Buñuel,1961,
Fists in the Pocket,Marco Bellocchio,1965,
Harlan County USA,Barbara Kopple,1976,
Elevator to the Gallows,Louis Malle,1958,
Dazed and Confused,Richard Linklater,1993,
À nos amours,Maurice Pialat,1983,
Equinox,Jack Woods,1970,
Yi Yi,Edward Yang,2000,
Koko: A Talking Gorilla,Barbet Schroeder,1978,
A Canterbury Tale,Michael Powell…,1944,
Six Moral Tales, , ,
The Bakery Girl of Monceau,Eric Rohmer,1963,
Suzanne’s Career,Eric Rohmer,1963,
My Night at Maud’s,Eric Rohmer,1969,
La collectionneuse,Eric Rohmer,1967,
Claire’s Knee,Eric Rohmer,1970,
Love in the Afternoon,Eric Rohmer,1972,
Kicking and Screaming,Noah Baumbach,1995,
Seduced and Abandoned,Pietro Germi,1964,
The Spirit of the Beehive,Víctor Erice,1973,
Jigoku,Nobuo Nakagawa,1960,
Sólo con tu pareja,Alfonso Cuarón,1991,
"Clean, Shaven",Lodge Kerrigan,1994,
Hands over the City,Francesco Rosi,1963,
Sweetie,Jane Campion,1989,
The Fallen Idol,Carol Reed,1948,
Pandora’s Box,G. W. Pabst,1929,
The Double Life of Véronique,Krzysztof Kieślowski,1991,
Symbiopsychotaxiplasm: Two Takes by William Greaves,William Greaves,,
The Beales of Grey Gardens,Albert Maysles…,2006,
Border Radio,"Allison Anders, Dean Lent, and Kurt Voss",1987,
Mouchette,Robert Bresson,1967,
Monsters and Madmen, , ,
First Man into Space,Robert Day,1959,
The Atomic Submarine,Spencer G. Bennet,1959,
The Haunted Strangler,Robert Day,1958,
Corridors of Blood,Robert Day,1959,
Paul Robeson: Portraits of the Artist, , ,
The Emperor Jones,Dudley Murphy,1933,
Body and Soul,Oscar Micheaux,1925,
Sanders of the River,Zoltán Korda,1935,
The Proud Valley,Pen Tennyson,1940,
Bicycle Thieves,Vittorio De Sica,1948,
Green for Danger,Sidney Gilliat,1946,
49th Parallel,Michael Powell,1941,
When a Woman Ascends the Stairs,Mikio Naruse,1960,
Fires on the Plain,Kon Ichikawa,1959,
The Burmese Harp,Kon Ichikawa,1956,
The Naked City,Jules Dassin,1948,
La haine,Mathieu Kassovitz,1995,
Overlord,Stuart Cooper,1975,
Brute Force,Jules Dassin,1947,
Vengeance Is Mine,Shohei Imamura,1979,
Army of Shadows,Jean-Pierre Melville,1969,
Sansho the Bailiff,Kenji Mizoguchi,1954,
La Jetée/Sans Soleil, , ,
The Two of Us,Claude Berri,1967,
WR: Mysteries of the Organism,Dušan Makavejev,1971,
Sweet Movie,Dušan Makavejev,1974,
If....,Lindsay Anderson,1969,
Three Films by Hiroshi Teshigahara, , ,
Pitfall,Hiroshi Teshigahara,1962,
Woman in the Dunes,Hiroshi Teshigahara,1964,
The Face of Another,Hiroshi Teshigahara,1966,
Ace in the Hole,Billy Wilder,1951,
Ivan’s Childhood,Andrei Tarkovsky,1962,
Les enfants terribles,Jean-Pierre Melville,1950,
House of Games,David Mamet,1987,
Stranger Than Paradise,Jim Jarmusch,1984,
Night on Earth,Jim Jarmusch,1991,
The Milky Way,Luis Buñuel,1969,
Cría cuervos . . .,Carlos Saura,1976,
Robinson Crusoe on Mars,Byron Haskin,1964,
The Threepenny Opera,G. W. Pabst,1931,
Martha Graham: Dance on Film,Nathan Kroll,1959,
Mala Noche,Gus Van Sant,1985,
Breathless,Jean-Luc Godard,1960,
Days of Heaven,Terrence Malick,1978,
Under the Volcano,John Huston,1984,
Berlin Alexanderplatz,Rainer Werner Fassbinder,1980,
Sawdust and Tinsel,Ingmar Bergman,1953,
Drunken Angel,Akira Kurosawa,1948,
Two-Lane Blacktop,Monte Hellman,1971,
The Naked Prey,Cornel Wilde,1965,
Miss Julie,Alf Sjöberg,1951,
This Sporting Life,Lindsay Anderson,1963,
4 by Agnès Varda, , ,
La Pointe Courte,Agnès Varda,1955,
Le bonheur,Agnès Varda,1965,
Pierrot le fou,Jean-Luc Godard,1965,
The Last Emperor,Bernardo Bertolucci,1987,
Walker,Alex Cox,1987,
Mafioso,Alberto Lattuada,1962,
Antonio Gaudí,Hiroshi Teshigahara,1984,
The Ice Storm,Ang Lee,1997,
Death of a Cyclist,Juan Antonio Bardem,1955,
Blast of Silence,Allen Baron,1961,
The Lovers,Louis Malle,1958,
The Fire Within,Louis Malle,1963,
The Thief of Bagdad,Tim Whelan…,1940,
Mishima: A Life in Four Chapters,Paul Schrader,1985,
Patriotism,Yukio Mishima…,1966,
Classe tous risques,Claude Sautet,1960,
The Furies,Anthony Mann,1950,
Before the Rain,Milcho Manchevski,1994,
Vampyr,Carl Th. Dreyer,1932,
Mon oncle Antoine,Claude Jutra,1971,
Trafic,Jacques Tati,1971,
Brand upon the Brain!,Guy Maddin,2006,
The Small Back Room,Michael Powell…,1949,
Twenty-Four Eyes,Keisuke Kinoshita,1954,
La ronde,Max Ophuls,1950,
Le plaisir,Max Ophuls,1952,
The Earrings of Madame de . . .,Max Ophuls,1953,
An Autumn Afternoon,Yasujirō Ozu,1962,
Le doulos,Jean-Pierre Melville,1962,
Le deuxième souffle,Jean-Pierre Melville,1966,
Missing,Costa-Gavras,1982,
Bottle Rocket,Wes Anderson,1996,
Fanfan la Tulipe,Christian-Jaque,1952,
The Spy Who Came in from the Cold,Martin Ritt,1965,
Chungking Express,Wong Kar Wai,1994,
Europa,Lars von Trier,1991,
White Dog,Samuel Fuller,1982,
The Taking of Power by Louis XIV,Roberto Rossellini,1966,
Magnificent Obsession,Douglas Sirk,1954,
El Norte,Gregory Nava,1983,
The Exterminating Angel,Luis Buñuel,1962,
Simon of the Desert,Luis Buñuel,1965,
Hobson’s Choice,David Lean,1954,
The Last Metro,François Truffaut,1980,
Il Generale Della Rovere,Roberto Rossellini,1959,
Danton,Andrzej Wajda,1983,
Dodes’ka-den,Akira Kurosawa,1970,
In the Realm of the Senses,Nagisa Oshima,1976,
Empire of Passion,Nagisa Oshima,1978,
Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,,
The Hit,Stephen Frears,1984,
Wise Blood,John Huston,1979,
"Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura", , ,
Pigs and Battleships,Shohei Imamura,1962,
The Insect Woman,Shohei Imamura,1963,
Intentions of Murder,Shohei Imamura,1964,
The Friends of Eddie Coyle,Peter Yates,1973,
The Curious Case of Benjamin Button,David Fincher,2008,
Bergman Island,Marie Nyreröd,2006,
Last Year at Marienbad,Alain Resnais,1961,
My Dinner with André,Louis Malle,1981,
The Human Condition,Masaki Kobayashi,1959,
Made in U.S.A,Jean-Luc Godard,1966,
2 or 3 Things I Know About Her,Jean-Luc Godard,1967,
Repulsion,Roman Polanski,1965,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,
The Last Days of Disco,Whit Stillman,1998,
Homicide,David Mamet,1991,
That Hamilton Woman,Alexander Korda,1941,
Howards End,James Ivory,1992,
Monsoon Wedding,Mira Nair,2001,
Wings of Desire,Wim Wenders,1987,
Z,Costa-Gavras,1969,
A Christmas Tale,Arnaud Desplechin,2008,
Gomorrah,Matteo Garrone,2008,
Downhill Racer,Michael Ritchie,1969,
The Golden Age of Television,,,
Che,Steven Soderbergh,2008,
Rome Open City,Roberto Rossellini,1945,
Paisan,Roberto Rossellini,1946,
Germany Year Zero,Roberto Rossellini,1948,
Roberto Rossellini’s War Trilogy, , ,
"Paris, Texas",Wim Wenders,1984,
Revanche,Götz Spielmann,2008,
Lola Montès,Max Ophuls,1955,
Hunger,Steve McQueen,2008,
Make Way for Tomorrow,Leo McCarey,1937,
Dillinger Is Dead,Marco Ferreri,1969,
Bigger Than Life,Nicholas Ray,1956,
Letters from Fontainhas: Three Films by Pedro Costa, , ,
Ossos,Pedro Costa,1997,
In Vanda’s Room,Pedro Costa,2000,
Colossal Youth,Pedro Costa,2006,
Vivre sa vie,Jean-Luc Godard,1962,
Summer Hours,Olivier Assayas,2008,
Ride with the Devil,Ang Lee,1999,
The Fugitive Kind,Sidney Lumet,1960,
Stagecoach,John Ford,1939,
"By Brakhage: An Anthology, Volume Two",Stan Brakhage,,
"By Brakhage: An Anthology, Volumes One and Two", , ,
Close-up,Abbas Kiarostami,1990,
Everlasting Moments,Jan Troell,2008,
Mystery Train,Jim Jarmusch,1989,
Red Desert,Michelangelo Antonioni,1964,
Night Train to Munich,Carol Reed,1940,
The Only Son/There Was a Father: Two Films by Yasujirō Ozu, , ,
The Only Son,Yasujirō Ozu,1936,
There Was a Father,Yasujirō Ozu,1942,
The Secret of the Grain,Abdellatif Kechiche,2007,
3 Silent Classics by Josef von Sternberg, , ,
Underworld,Josef von Sternberg,1927,
The Last Command,Josef von Sternberg,1928,
The Docks of New York,Josef von Sternberg,1928,
Louie Bluie,Terry Zwigoff,1985,
Crumb,Terry Zwigoff,1995,
L’enfance nue,Maurice Pialat,1968,
Merry Christmas Mr. Lawrence,Nagisa Oshima,1983,
The Thin Red Line,Terrence Malick,1998,
The Magician,Ingmar Bergman,1958,
Paths of Glory,Stanley Kubrick,1957,
House,Nobuhiko Obayashi,1977,
The Darjeeling Limited,Wes Anderson,2007,
The Night of the Hunter,Charles Laughton,1955,
Antichrist,Lars von Trier,2009,
Modern Times,Charles Chaplin,1936,
Head,Bob Rafelson,1968,
Easy Rider,Dennis Hopper,1969,
Five Easy Pieces,Bob Rafelson,1970,
"Drive, He Said",Jack Nicholson,1970,
A Safe Place,Henry Jaglom,1971,
The Last Picture Show,Peter Bogdanovich,1971,
The King of Marvin Gardens,Bob Rafelson,1972,
Cronos,Guillermo del Toro,1993,
Broadcast News,James L. Brooks,1987,
Fish Tank,Andrea Arnold,2009,
Still Walking,Hirokazu Kore-eda,2008,
Sweet Smell of Success,Alexander Mackendrick,1957,
Senso,Luchino Visconti,1954,
The Times of Harvey Milk,Robert Epstein,1984,
Topsy-Turvy,Mike Leigh,1999,
The Mikado,Victor Schertzinger,1939,
White Material,Claire Denis,2009,
Kes,Ken Loach,1970,
Blow Out,Brian De Palma,1981,
Something Wild,Jonathan Demme,1986,
Pale Flower,Masahiro Shinoda,1964,
The Great Dictator,Charles Chaplin,1940,
Insignificance,Nicolas Roeg,1985,
The Makioka Sisters,Kon Ichikawa,1983,
Kiss Me Deadly,Robert Aldrich,1955,
People on Sunday,Robert Siodmak…,1930,
Zazie dans le métro,Louis Malle,1960,
Black Moon,Louis Malle,1975,
"Léon Morin, Priest",Jean-Pierre Melville,1961,
The Music Room,Satyajit Ray,1958,
Life During Wartime,Todd Solondz,2010,
The Killing,Stanley Kubrick,1956,
Secret Sunshine,Lee Chang-dong,2007,
Cul-de-sac,Roman Polanski,1966,
The Complete Jean Vigo, , ,
The Phantom Carriage,Victor Sjöström,1921,
Le beau Serge,Claude Chabrol,1958,
Les cousins,Claude Chabrol,1959,
Carlos,Olivier Assayas,2010,
The Four Feathers,Zoltán Korda,1939,
Kuroneko,Kaneto Shindo,1968,
Identification of a Woman,Michelangelo Antonioni,1982,
Island of Lost Souls,Erle C. Kenton,1932,
Three Colors, , ,
Three Colors: Blue,Krzysztof Kieślowski,1993,
Three Colors: White,Krzysztof Kieślowski,1994,
Three Colors: Red,Krzysztof Kieślowski,1994,
12 Angry Men,Sidney Lumet,1957,
Design for Living,Ernst Lubitsch,1933,
Belle de jour,Luis Buñuel,1967,
Godzilla,Ishiro Honda,1954,
The Moment of Truth,Francesco Rosi,1965,
Three Outlaw Samurai,Hideo Gosha,1964,
Tiny Furniture,Lena Dunham,2010,
World on a Wire,Rainer Werner Fassbinder,1973,
Vanya on 42nd Street,Louis Malle,1994,
Letter Never Sent,Mikhail Kalatozov,1959,
The War Room,Chris Hegedus…,1993,
David Lean Directs Noël Coward, , ,
In Which We Serve,David Lean…,1942,
This Happy Breed,David Lean,1944,
Blithe Spirit,David Lean,1945,
A Hollis Frampton Odyssey,Hollis Frampton,,
Harold and Maude,Hal Ashby,1971,
¡Alambrista!,Robert M. Young,1977,
The Organizer,Mario Monicelli,1963,
Being John Malkovich,Spike Jonze,1999,
Certified Copy,Abbas Kiarostami,2010,
Summer Interlude,Ingmar Bergman,1951,
Summer with Monika,Ingmar Bergman,1953,
The Gold Rush,Charles Chaplin,1942,
Shallow Grave,Danny Boyle,1994,
And Everything Is Going Fine,Steven Soderbergh,2010,
Gray’s Anatomy,Steven Soderbergh,1997,
Le Havre,Aki Kaurismäki,2011,
La promesse,Luc Dardenne…,1996,
Rosetta,Luc Dardenne…,1999,
Weekend,Andrew Haigh,2011,
Lonesome,Paul Fejos,1928,
Quadrophenia,Franc Roddam,1979,
Eating Raoul,Paul Bartel,1982,
Les visiteurs du soir,Marcel Carné,1942,
The Game,David Fincher,1997,
The Forgiveness of Blood,Joshua Marston,2011,
Sunday Bloody Sunday,John Schlesinger,1971,
Rosemary’s Baby,Roman Polanski,1968,
Trilogy of Life, , ,
The Decameron,Pier Paolo Pasolini,1971,
The Canterbury Tales,Pier Paolo Pasolini,1972,
Arabian Nights,Pier Paolo Pasolini,1974,
Weekend,Jean-Luc Godard,1967,
Heaven’s Gate,Michael Cimino,1980,
Purple Noon,René Clément,1960,
Following,Christopher Nolan,1999,
The Qatsi Trilogy, , ,
